deviceId,recoveryId,outcome,replacementPod,detectedAtMillis,actedAtMillis,detectionToReplacementMillis,recoveredAtMillis,mttrMillis,missedHeartbeats
device-001,86b37789e9,REPLACED,device-001-r-86b37789e9,1787675450032,1787675450154,122,1787675451422,1390,0
device-002,cffad77faa,REPLACED,device-002-r-cffad77faa,1787675460335,1787675460412,77,1787675461380,1045,0
device-003,f034c2210e,REPLACED,device-003-r-f034c2210e,1787675470097,1787675470197,100,1787675471543,1446,0
device-001,62e0a24970,REPLACED,device-001-r-62e0a24970,1787675480476,1787675480572,96,1787675481876,1400,0
device-002,229a76426f,REPLACED,device-002-r-229a76426f,1787675490408,1787675490497,89,1787675491814,1406,0
device-003,b65f8797e3,REPLACED,device-003-r-b65f8797e3,1787675500460,1787675500532,72,1787675501840,1380,0
device-001,441d7eb9bd,REPLACED,device-001-r-441d7eb9bd,1787675510489,1787675510583,94,1787675512250,1761,0
device-002,5ba248e17e,REPLACED,device-002-r-5ba248e17e,1787675520993,1787675521124,131,1787675523218,2225,0
device-003,e60595b2c6,REPLACED,device-003-r-e60595b2c6,1787675532141,1787675532256,115,1787675534042,1901,0
device-001,7d6b8f6923,REPLACED,device-001-r-7d6b8f6923,1787675542763,1787675542827,64,1787675544083,1320,0
device-002,2d7c141f8a,REPLACED,device-002-r-2d7c141f8a,1787675552783,1787675552873,90,1787675554181,1398,0
device-003,3a2f391596,REPLACED,device-003-r-3a2f391596,1787675562829,1787675562902,73,1787675564275,1446,0
device-001,0b95696d0f,REPLACED,device-001-r-0b95696d0f,1787675573125,1787675573232,107,1787675574327,1202,0
device-002,a02f5b6576,REPLACED,device-002-r-a02f5b6576,1787675583205,1787675583474,269,1787675584368,1163,0
device-003,1aec18f1a3,REPLACED,device-003-r-1aec18f1a3,1787675593178,1787675593234,56,1787675594456,1278,0
device-001,3d5c44a194,REPLACED,device-001-r-3d5c44a194,1787675603158,1787675603222,64,1787675604510,1352,0
device-002,1c54314eae,REPLACED,device-002-r-1c54314eae,1787675613176,1787675613234,58,1787675614616,1440,0
device-003,2ae333de41,REPLACED,device-003-r-2ae333de41,1787675623218,1787675623307,89,1787675624649,1431,0
device-001,06f806e9b2,REPLACED,device-001-r-06f806e9b2,1787675633351,1787675633432,81,1787675634808,1457,0
device-002,119411fe78,REPLACED,device-002-r-119411fe78,1787675643659,1787675643746,87,1787675644894,1235,0
